intent,utterance
13,can you ask an agent where I could see their fucking reimbursement policy?
10,"I don't want my profile, how do I cancel it?"
11,ask an agent how to lodge a complaint
7,"I can't find my bills , I need help viewing them"
4,tell me how to track my orders
6,"you're not helping, how do I contact a human agent?"
3,what information do you have about downloading some invoices?
1,i want to know if i can create more than one online account with a single email address
0,ask an agent where i can inform of issues paying
3,can you see a bill?
2,"could you show me the fucking mail address of Customer Service, please?"
7,"I lost my bill, check it"
4,I want to know if I can check my packages
10,"i changed my mind, how do i remove my online account?"
7,where do I check my invoice?
7,"i lost my invoice, can u show it?"
7,"I want to see my bills, what should I do?"
4,"I want to check my dlivery, can you tell me how to do it?"
8,"my profile was hacked, how can I get it back?"
2,"i want information about the email of the Client Service , please"
6,"I don't undersatnd you, could I speak with fucking sopmeone?"
10,i dont want my account
11,"I don't like the service, help me file a complaint"
10,"could u ask an agent where to cancel my account, please?"
4,I want to know if my packages are out for delivery
0,"I have an problem paying for mny online order, help me report it"
3,tell me about getting some invoices
7,"i lost my bills, can u show them?"
1,"please, could you tell me if i can register wto accounts with the same email?"
13,where do i see your refund policy?
6,"you aren't helping, talk to a human"
5,"the game was postpone, how can I obtain a refund?"
9,I bought an item and I want to change my order
12,"I want to make an opinion, what should I do?"
5,how could I request a reimbursement?
6,I need help speaking with a person
7,can I check my invoices?
8,how do i reset my account passwodr?
5,"the event was cancelled, can i get a refund?"
2,I want to see the email of Customer Service
13,"I want to see your reimbursement policy, can you help me?"
1,i wanna know if i can register two online accounts with the same email
10,"i changed my mind, how do i delete my online account?"
7,help me view my invoices
8,"someone stole my password, can u retrieve it?"
8,"someone stole my password, I need help retrieving it, please"
12,i am happy with the service and i wanna lodge an opinion
1,"I need an online account, how do I create one?"
1,i want to know if i can create two online accounts with the same email
1,"I don't have a user account, I need help creating one"
9,I purchased a product and I want to modify my purchase
0,"I got an error message when I tried to pay, but I was charged anyway, what should I do to inform of it?"
13,where do I see your money back policy?
3,"I want to download an invoice, can you tell me where to do it?"
13,"please, could you ask an agent where I can view thir fucking refund policy?"
13,where to check your money back guarantee
2,I want to talk to Client Service
9,I wanna know about modifying my purchase
13,check your money vack guarantee
3,"I want to download a bill, tell me how I can do it"
11,how do I make a complaimt?
4,i wanna know how I can track my order
2,information about the mail of the Client Service
1,i want to know if i can create more than one user account with the same email
4,can u ask an agent to check my shipments?
6,"you aren't helping, speak with someone"
3,I want to know if I can see an invoice
4,can you check my shipments?
5,the show was postponed and I want to request a reimbursement
5,"the game was postponed, get a reimbursement"
1,"I don't have a user account, can you register?"
9,"please, could you tell me if I can modify my order?"
1,"I don't have an account, what do I have to do to create one?"
8,"my account's been hacked, how can i recover it?"
8,my profile's been hacked and I want to recoevr it
6,i need help speaking with a human agent
9,i ordered a product and i would like to modify my order
8,"my profile's been hacked, can u recover it?"
11,"I want to file a complaint, what should I do?"
0,"i got an error when i attempted to make a payment, but my card was charged anyway, how do i report it?"
12,"I'm happy with the service, how can I lodge a review?"
4,can u check my orders?
10,"I don't want my user account, how can I delete it?"
10,where to remove my online account
11,"I don't like the service, can I make a consumer complaint?"
3,I want to ask for information about getting some invoices
5,"the game was postponed, how do I get a refund?"
5,"the game was postponed, how do I obtain a reimbursement?"
9,"I purchased something, how do I change my purchase?"
1,"i need an online account, what should i do to create one?"
2,tell me if there is a free number to contact Customer Service
6,"I can't understand you, can you talk to someone?"
1,i want to know if i can have several accounts
9,"I bought a product, what can I do to modify my purchase?"
11,"I'm not happy with the service, what do I have to do to submit a complaint?"
8,"I forgot my account password, can you recover it, please?"
8,"i lost my account password, can i recover it?"
4,can you tell me where I can check my packages?
13,"I want to check your reimbursement policy, what should I do ?"
4,"I want to check my package, tell me how I can do it"
6,I do not understand you and I'd like to contact a person
3,can I download an invoice?
11,"I'm discontent with the servbice, what do I have to do to make a complaint?"
5,"the game was cancelled, can u help me?"
9,can I change my order?
1,"i wanna open an online account, what do i have to do?"
13,"I'm interested in your reimburement policy, tell me about it"
12,"please, can u ask an agent how i could leave an opinion?"
7,"can youj ask an agent to show me my invoices, please ?"
2,I have a question and I want to talk to Client Service
4,how can I know where my shipment is?
8,"I want to recover my account password, what should I do?"
4,help me track my delivery
9,I bouvht a product and I want to change my order
8,"my fucking account was hacked, what can i do?"
11,"please, can u ask an agent if i could make a complaint for a service?"
5,"the concert was postponed, get a reimbursement"
2,"please, I want to know what the email of the Client Service is"
4,I want to check the status of my purchase
0,ask an agent where to report an problem with my payment
6,"you're not helping, could I  talk to a person?"
5,"the event was postponed, what do i have to do to request a reimbursement?"
5,can u ask an agent how i can request a reimbursement?
7,"I can't find my invoices, can you check them?"
3,tel me where to request a bill
4,how can I know wherr my hsipments are?
0,"I got an error message when I tried to make a payment, but I was charged anyway and I'd like to report it, please"
6,"you aren't helping, how can I contact a human agent?"
4,can you tell me how I can track my shipments?
8,ask an agent if i could rtetrieve my password
2,I want to know what the pohone no of Customer Support is
7,I can't find my invoice and I want to check it
3,I want to get some invoices
3,I want to ask for information about downloading a bill
8,"my user account was hacked, how do I get it back?"
7,"i didn't receive my invoice, how do i check it?"
10,"i wana cancel my profile, how can i  do it?"
10,"please, ask an agent where i can close my account"
6,"you're not helping, speak with a human agent"
4,tell me how I can know where my order is
1,"I need an online account, can you create one?"
7,"I can't find my bill, how do I check it?"
9,"can you tell me how I could modify my order, please?"
0,how to notify a problem paying
13,I'm interested in your reimbursement policy and I need information about it
6,I don't understand you and I want to speak with someone
11,"im discontent with the service, what can i do to make a complaint?"
5,"the event was postponed, help me get a reimbursement"
5,"the show was cancelled, what can I do to obtain a refund?"
8,"someone stole my password, help me retrieve it"
4,do you mind asking an agent if i can check my package?
1,can I create two user accounts with a single email?
3,tell me if i can downloadan invoice
8,"I can't remember my account password, help me reset it"
3,how to rewquest some bills
5,where do i obtain a reimbursement?
7,"i want to check my bill, what do i have to do?"
7,"I can't find my bill, check it"
2,can you tell me the free number to contact Customer Support?
3,I want to ask for information about seeing some invoices
1,"I haven't got an online account, how do I register?"
10,"I don't want my fucking account, can you cancel it, please?"
11,can u ask an agent if i can file a complaint?
2,"I have an question, I need help contacting Client Service"
5,"the event was postponed, what do I have to do to get an reimbursement?"
2,can you tell me the email of the Client Service?
7,"I didn't receive my bill, I need help checking it"
2,whats the fucking mail address to contact customer service?
13,"please, could u ask an agent where to see their money back policy?"
1,ho to rceate a profile
3,can u ask an agent whree to get a bill?
0,"i got an error when i attempted to pay, but my card was charged anyway, can i report it?"
5,"the show was cancelled, how could i get a reimbursement?"
1,can I register more than one online account with the same email?
8,"my account was hacked, can you recover it?"
5,the concert was postponed and i want to get a reimbursement
5,"can you ask an agent where to receive a fucking reimbursement, please?"
1,"I haven't got a user account, how do I create one?"
11,"I don't like the service, can I submit a consumer complaint?"
11,"I'm not happy with the service, what do I have to do to make a consumer complaint?"
6,I don't understand you and I'd like to talk to fucking someone
10,i wanna remove my user account
7,"could you show me information about my fucking bill, please?"
3,can I get some invoices?
8,"I lost my password, what should I do to reset it?"
5,the concert was postponed and i want to request a refund
9,"I wanna change my ordr, tell me how to do it"
12,"I'm happy with the service, I need help filing a cdomment"
5,"the concert was postponed, what can I do to get a reimbursement?"
9,"I want to midify my purchase, can you tell me how to do it?"
